question,teacher_key,student_answer,label_human,type,score_tfidf,score_sbert,score_indobert,processing_time,error_tfidf,error_sbert,error_indobert
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.","Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.",100,exact,100.0,100.0,100.0,0.5573201179504395,0.0,0.0,0.0
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.",Menghasilkan energi ATP.,85,short_correct,0.0,25.12,40.81,0.2857015132904053,85.0,59.879999999999995,44.19
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.",Saya tidak tahu.,0,wrong,0.0,42.5,32.66,0.2516772747039795,0.0,42.5,32.66
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.","Jantung gunanya untuk memompa darah ke semua badan melalui pembuluh darah, membawa oksigen dan nutrisi.",95,synonym,70.26,93.79,96.83,0.3655533790588379,24.739999999999995,1.2099999999999937,1.8299999999999983
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.","Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",100,exact,100.0,100.0,100.0,0.3670475482940674,0.0,0.0,0.0
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",Tumbuhan bikin makanan pakai matahari.,85,short_correct,17.06,47.36,46.35,0.7813212871551514,67.94,37.64,38.65
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",Proses pembakaran hutan.,0,wrong,6.6,35.48,41.96,0.43129801750183105,6.6,35.48,41.96
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.","Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",95,synonym,100.0,100.0,100.0,0.4476754665374756,5.0,5.0,5.0
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,100,exact,100.0,100.0,100.0,0.40180540084838867,0.0,0.0,0.0
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Bawa oksigen.,85,short_correct,6.92,54.69,39.62,0.4638938903808594,78.08,30.310000000000002,45.38
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Saya tidak tahu.,0,wrong,0.0,42.61,28.81,0.7322297096252441,0.0,42.61,28.81
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,95,synonym,100.0,100.0,100.0,0.47681093215942383,5.0,5.0,5.0
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.","Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.",100,exact,100.0,100.0,100.0,0.79121994972229,0.0,0.0,0.0
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.","Arteri bawa darah dari jantung, Vena ke jantung.",85,short_correct,35.76,73.23,59.25,1.2790758609771729,49.24,11.769999999999996,25.75
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.",Saya tidak tahu.,0,wrong,0.0,40.03,35.07,0.5264911651611328,0.0,40.03,35.07
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.","Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.",95,synonym,100.0,100.0,100.0,1.0901072025299072,5.0,5.0,5.0
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,100,exact,100.0,100.0,100.0,0.3064157962799072,0.0,0.0,0.0
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Menghasilkan energi ATP.,85,short_correct,38.0,77.06,51.63,0.3067150115966797,47.0,7.939999999999998,33.37
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Saya tidak tahu.,0,wrong,0.0,13.38,35.4,0.269305944442749,0.0,13.38,35.4
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Mitokondria gunanya sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,95,synonym,84.78,97.11,97.9,0.24791336059570312,10.219999999999999,2.1099999999999994,2.9000000000000057
