question_id,teacher_key,student_answer,score,reasoning
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Daur ulang adalah proses mengolah kembali limbah atau barang bekas menjadi produk baru yang memiliki nilai guna bagi manusia.,100.0,"Jawaban sangat lengkap dan mencakup semua poin kunci: proses pengolahan, objek berupa limbah, hasil berupa produk baru, dan adanya nilai guna."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Tindakan memproses lagi sampah atau material sisa agar berubah menjadi barang jadi yang bermanfaat dan bisa dipakai lagi.,95.0,"Jawaban ini hampir sempurna karena menyebutkan proses perubahan material sisa menjadi barang bermanfaat, hanya pemilihan katanya sedikit berbeda dari kunci jawaban."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Kegiatan mengolah kembali barang-barang yang sudah tidak terpakai sehingga menjadi produk yang memiliki fungsi pakai.,90.0,Siswa memahami konsep inti tentang pengolahan barang bekas menjadi produk fungsional. Poin tentang 'limbah' tersirat dalam kata 'barang tidak terpakai'.
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Mengubah sampah menjadi produk baru yang mempunyai nilai ekonomis atau nilai pakai melalui proses pengolahan.,88.0,Jawaban mencakup semua kriteria utama dalam kunci jawaban. Penyebutan 'nilai ekonomis' merupakan tambahan yang relevan dengan 'nilai guna'.
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Mengolah barang bekas menjadi barang yang bisa digunakan kembali.,80.0,"Poin tentang mengolah barang bekas sudah benar, namun tidak secara eksplisit menyebutkan proses menjadi 'produk baru' yang spesifik."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Proses memanfaatkan limbah agar memiliki kegunaan bagi masyarakat.,75.0,"Siswa menyebutkan pemanfaatan limbah dan kegunaannya, tetapi melewatkan bagian bahwa limbah tersebut harus diolah menjadi 'produk baru'."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Mendaur ulang sampah supaya bisa menjadi sesuatu yang bermanfaat.,70.0,"Jawaban benar secara konsep umum, namun terlalu singkat dan tidak menjelaskan proses 'mengolah kembali' secara mendalam."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Membuat kerajinan tangan dari bahan-bahan plastik atau kertas bekas.,65.0,"Jawaban ini merupakan contoh aplikasi dari daur ulang, bukan definisi umum. Poin tentang mengolah barang bekas sudah ada namun terlalu spesifik."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Mengubah limbah menjadi barang yang lebih berharga.,60.0,"Siswa menangkap poin perubahan limbah dan nilai gunanya, namun tidak menjelaskan bahwa ada proses produksi yang terlibat di dalamnya."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Cara untuk mengurangi penumpukan sampah di lingkungan.,55.0,"Hanya menyebutkan tujuan atau dampak dari proses tersebut, tanpa menjelaskan apa itu proses pengolahan barang bekasnya sendiri."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Mengumpulkan botol plastik untuk dijual kembali ke pengepul.,45.0,"Jawaban ini lebih merujuk pada kegiatan pengumpulan barang bekas, bukan proses 'mengolah kembali menjadi produk baru' sesuai kunci jawaban."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Membersihkan barang yang sudah kotor agar bisa dipakai lagi.,40.0,"Konsep yang disampaikan adalah pencucian atau pembersihan (reuse), bukan pengolahan kembali (recycling) menjadi produk baru."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Proses menjaga lingkungan dari pencemaran sampah plastik.,35.0,Terlalu umum dan hanya menyentuh aspek lingkungan tanpa menjelaskan definisi teknis dari proses pengolahan limbah itu sendiri.
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Barang sisa yang diolah.,30.0,"Jawaban terlalu singkat dan menggantung. Meskipun menyebut pengolahan barang sisa, elemen 'produk baru' dan 'nilai guna' tidak disebutkan."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Membeli barang yang ramah lingkungan.,25.0,Jawaban tidak relevan dengan proses pengolahan limbah. Siswa keliru antara aksi konsumsi hijau dengan proses daur ulang.
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Plastik bekas.,15.0,"Hanya menyebutkan objek atau contoh material, tanpa menyertakan tindakan atau definisi proses yang diminta."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Kebersihan.,10.0,Hanya menyebutkan satu kata yang berkaitan sangat jauh dengan konteks pengolahan limbah.
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,Pabrik.,5.0,"Sama sekali tidak relevan. Kata tersebut mungkin merujuk pada tempat pengolahan, tapi tidak menjelaskan definisi prosesnya."
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna.,asdfghjkl,0.0,Jawaban tidak bermakna karena hanya berisi rangkaian huruf acak yang tidak membentuk kata atau kalimat.
332,Proses mengolah kembali barang bekas atau limbah menjadi produk baru yang memiliki nilai guna., ,0.0,Siswa tidak memberikan jawaban sama sekali (kosong).
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,"Membiarkan alat elektronik menyala saat tidak digunakan. Solusinya, kita harus mematikannya setelah selesai memakainya agar hemat energi.",100.0,Jawaban sangat lengkap karena mencakup identifikasi masalah dan solusi yang tepat sesuai kunci. Struktur kalimat sangat jelas dan mencerminkan pemahaman penuh terhadap konsep.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Perilaku yang boros listrik adalah membiarkan lampu tetap menyala meskipun tidak ada orang di ruangan. Solusi terbaik adalah mematikan lampu dan alat elektronik segera setelah selesai digunakan.,95.0,Jawaban mencakup poin masalah dan solusi dengan sangat baik. Penggunaan contoh lampu memperjelas konteks pemborosan energi.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Contohnya adalah membiarkan TV atau lampu menyala saat tidak diperlukan. Cara mengatasinya adalah dengan membiasakan diri untuk mematikan perangkat elektronik jika tidak lagi dipakai.,90.0,Jawaban hampir sempurna dengan menyebutkan masalah dan solusi secara eksplisit. Deskripsi perilaku dan tindakannya sangat sesuai dengan maksud kunci jawaban.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Lampu yang dibiarkan hidup terus-menerus padahal tidak ada yang memakai adalah pemborosan. Kita harus mematikan alat tersebut saat sudah selesai.,88.0,Siswa berhasil mengidentifikasi perilaku boros dan memberikan solusi yang relevan. Sedikit kurang formal namun poin intinya tersampaikan dengan benar.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Membiarkan lampu hidup. Solusinya adalah dimatikan.,82.0,Jawaban mencakup masalah dan solusi namun sangat singkat. Tidak menyebutkan kategori 'alat elektronik' secara umum sebagaimana di kunci jawaban.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Contoh pemborosan adalah alat elektronik yang menyala terus. Kita harus mematikannya.,80.0,"Menyebutkan masalah dan solusi dengan benar. Namun, kurang spesifik mengenai kondisi bahwa alat tersebut sedang 'tidak digunakan'."
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Membiarkan lampu menyala saat tidak digunakan. Solusinya kita harus lebih hemat energi.,75.0,"Poin masalah sudah tepat sesuai kunci. Namun, bagian solusi masih terlalu umum dan tidak menyebutkan tindakan spesifik 'mematikan'."
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Menggunakan listrik berlebihan. Solusinya harus dimatikan kalau sudah tidak perlu.,70.0,Identifikasi masalah agak kabur karena hanya menyebutkan 'berlebihan'. Solusinya sudah benar namun kurang detail dalam menghubungkannya dengan alat elektronik.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Lupa mematikan lampu saat keluar rumah.,65.0,"Siswa sudah mengidentifikasi perilaku yang salah (masalah). Namun, jawaban ini sama sekali tidak menyertakan solusi yang diminta oleh soal."
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Solusinya matikan alatnya.,55.0,Hanya menjawab bagian solusi tanpa menyebutkan perilaku atau masalah apa yang sedang dibahas. Konsep yang ditangkap hanya setengah.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Membiarkan kipas angin berputar.,50.0,"Menjelaskan contoh perilaku yang salah secara spesifik. Namun, tidak ada penjelasan solusi dan cakupannya terlalu sempit hanya pada satu alat."
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Harus mematikan TV.,45.0,Hanya memberikan solusi untuk satu jenis alat elektronik. Tidak menjelaskan perilaku pemborosan yang terjadi sebelumnya.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Lampu menyala terus di malam hari.,40.0,"Menyentuh sedikit poin tentang pemborosan lampu. Tidak ada solusi yang ditawarkan dan pernyataan ini bisa dianggap sebagai fakta, bukan identifikasi masalah yang lengkap."
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Hemat listrik biar tidak bayar mahal.,35.0,Jawaban hanya menyentuh tujuan dari hemat energi secara umum. Tidak menyebutkan perilaku spesifik maupun solusi mematikan alat.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Menggunakan air secukupnya.,20.0,"Jawaban tidak relevan karena membahas sumber daya air, bukan listrik atau alat elektronik. Masih dalam tema pelestarian lingkungan namun melenceng dari kunci."
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Membayar tagihan.,15.0,Jawaban tidak relevan dengan perilaku penggunaan alat elektronik. Konteks yang diambil salah arah.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Lampu.,10.0,Jawaban hanya terdiri dari satu kata benda yang terdapat dalam kunci. Tidak ada penjelasan mengenai masalah maupun solusinya.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,Membuang sampah pada tempatnya.,5.0,Jawaban sepenuhnya salah dan tidak ada kaitannya dengan penghematan energi elektronik. Siswa kemungkinan asal menjawab.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai.,asdfghjkl,0.0,Jawaban tidak bermakna dan hanya terdiri dari rangkaian huruf acak. Tidak ada poin benar sedikit pun.
333,Membiarkan lampu atau alat elektronik menyala saat tidak digunakan; solusinya adalah mematikannya setelah dipakai., ,0.0,Jawaban kosong. Siswa tidak memberikan respon apa pun terhadap pertanyaan.
335,"Mematikan keran air saat menyabuni tangan atau menyikat gigi, serta memperbaiki kebocoran pipa.","Mematikan keran air saat sedang menyabuni tangan atau menyikat gigi, serta segera memperbaiki jika ada kebocoran pada pipa.",100.0,Jawaban sangat lengkap dan akurat sesuai kunci jawaban. Mencakup kedua poin utama yaitu perilaku saat menggunakan air dan pemeliharaan pipa.
335,"Mematikan keran air saat menyabuni tangan atau menyikat gigi, serta memperbaiki kebocoran pipa.","Langkah yang bisa dilakukan adalah mematikan kran air pada saat menyikat gigi dan menyabuni tangan, lalu memastikan tidak ada pipa yang bocor.",95.0,Jawaban mencakup semua poin penting dengan redaksi kalimat yang baik. Semua konsep dari kunci jawaban tersampaikan dengan jelas.
335,"Mematikan keran air saat menyabuni tangan atau menyikat gigi, serta memperbaiki kebocoran pipa.","Cara menghemat air adalah dengan menutup kran saat pakai sabun atau gosok gigi, serta memperbaiki pipa air yang rusak.",90.0,Jawaban sangat bagus dan mencakup inti dari kunci jawaban. Terdapat sedikit variasi kata namun maknanya tetap sama dengan kunci.
335,"Mematikan keran air saat menyabuni tangan atau menyikat gigi, serta memperbaiki kebocoran pipa.","Kita harus mematikan keran air ketika sedang menyabuni tangan atau sikat gigi, dan segera membetulkan pipa yang bocor.",92.0,Jawaban mencakup poin mematikan keran saat aktivitas tertentu dan poin perbaikan pipa. Sangat mendekati kunci jawaban.
