question,teacher_key,student_answer,label_human,type,score_tfidf,score_sbert,processing_time,error_tfidf,error_sbert
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.","Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.",100,exact,100.0,100.0,0.32738208770751953,0.0,0.0
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.",Menghasilkan energi ATP.,85,short_correct,0.0,25.12,0.05678725242614746,85.0,59.879999999999995
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.",Saya tidak tahu.,0,wrong,0.0,42.5,0.04106283187866211,0.0,42.5
Jelaskan fungsi utama jantung.,"Jantung berfungsi untuk memompa darah ke seluruh tubuh melalui pembuluh darah, membawa oksigen dan nutrisi.","Jantung gunanya untuk memompa darah ke semua badan melalui pembuluh darah, membawa oksigen dan nutrisi.",95,synonym,70.26,93.79,0.050662994384765625,24.739999999999995,1.2099999999999937
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.","Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",100,exact,100.0,100.0,0.06264400482177734,0.0,0.0
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",Tumbuhan bikin makanan pakai matahari.,85,short_correct,17.06,47.36,0.0481107234954834,67.94,37.64
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",Proses pembakaran hutan.,0,wrong,6.6,35.48,0.04443693161010742,6.6,35.48
Apa yang dimaksud dengan fotosintesis?,"Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.","Fotosintesis adalah proses di mana tumbuhan hijau mengubah energi cahaya matahari menjadi energi kimia dalam bentuk glukosa/makanan, menggunakan air dan karbondioksida.",95,synonym,100.0,100.0,0.04544186592102051,5.0,5.0
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,100,exact,100.0,100.0,0.05649447441101074,0.0,0.0
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Bawa oksigen.,85,short_correct,6.92,54.69,0.07154059410095215,78.08,30.310000000000002
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Saya tidak tahu.,0,wrong,0.0,42.61,0.06687641143798828,0.0,42.61
Sebutkan fungsi sel darah merah (eritrosit).,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,Fungsi utama sel darah merah adalah mengangkut oksigen dari paru-paru ke seluruh jaringan tubuh dan membawa kembali karbondioksida ke paru-paru.,95,synonym,100.0,100.0,0.04089021682739258,5.0,5.0
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.","Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.",100,exact,100.0,100.0,0.05313539505004883,0.0,0.0
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.","Arteri bawa darah dari jantung, Vena ke jantung.",85,short_correct,35.76,73.23,0.05333733558654785,49.24,11.769999999999996
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.",Saya tidak tahu.,0,wrong,0.0,40.03,0.050520896911621094,0.0,40.03
Jelaskan perbedaan pembuluh Arteri dan Vena.,"Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.","Arteri mengalirkan darah keluar dari jantung (biasanya kaya oksigen), dindingnya tebal dan elastis. Vena mengalirkan darah kembali ke jantung (biasanya kaya karbondioksida), dindingnya lebih tipis dan memiliki katup.",95,synonym,100.0,100.0,0.04875016212463379,5.0,5.0
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,100,exact,100.0,100.0,0.049793243408203125,0.0,0.0
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Menghasilkan energi ATP.,85,short_correct,38.0,77.06,0.05408978462219238,47.0,7.939999999999998
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Saya tidak tahu.,0,wrong,0.0,13.38,0.04059481620788574,0.0,13.38
Apa fungsi mitokondria dalam sel?,Mitokondria berfungsi sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,Mitokondria gunanya sebagai tempat respirasi sel untuk menghasilkan energi dalam bentuk ATP.,95,synonym,84.78,97.11,0.03618359565734863,10.219999999999999,2.1099999999999994
